,gsis_id,fpts,receiver_player_name,posteam,#1 WR,Top 5 WR,Top 10 WR,Top 25 WR,Top 50 WR
26,00-0031381,20.736739451805082,D.Adams,GB,0.328,0.773,0.912,0.995,1.0
15,00-0030279,19.554952589613876,K.Allen,LAC,0.207,0.619,0.808,0.983,1.0
33,00-0031588,18.384807160018127,S.Diggs,BUF,0.062,0.48,0.78,0.989,1.0
122,00-0035659,17.69184900562838,T.McLaurin,WAS,0.018,0.326,0.721,0.99,1.0
35,00-0031941,17.444677120700227,J.Crowder,NYJ,0.053,0.336,0.602,0.91,0.997
29,00-0031428,17.225026007419405,A.Robinson,CHI,0.039,0.278,0.605,0.95,0.999
18,00-0030564,17.224426389246876,D.Hopkins,ARI,0.044,0.293,0.577,0.938,0.998
30,00-0031544,16.75968826131454,A.Cooper,DAL,0.038,0.267,0.503,0.872,0.989
42,00-0032688,16.289160841829514,R.Anderson,CAR,0.003,0.116,0.415,0.922,1.0
71,00-0033908,16.105556054594754,C.Kupp,LA,0.046,0.208,0.418,0.78,0.959
119,00-0035592,16.008816276753592,T.Fulgham,PHI,0.016,0.144,0.388,0.829,0.994
100,00-0034837,15.926904363368267,C.Ridley,ATL,0.007,0.12,0.36,0.872,0.993
39,00-0032211,15.757175345686669,T.Lockett,SEA,0.051,0.199,0.358,0.711,0.944
121,00-0035640,15.489482922123463,D.Metcalf,SEA,0.008,0.081,0.279,0.807,0.992
49,00-0033009,15.40559863498893,T.Boyd,CIN,0.002,0.077,0.271,0.802,0.994
7,00-0027944,14.872024219176355,J.Jones,ATL,0.002,0.046,0.206,0.716,0.981
124,00-0035676,14.563284840132214,A.Brown,TEN,0.0,0.0,0.007,0.923,1.0
50,00-0033040,14.55055164551582,T.Hill,KC,0.012,0.09,0.222,0.588,0.904
103,00-0034960,14.519275189631985,J.Meyers,NE,0.02,0.138,0.252,0.575,0.866
6,00-0027942,14.18311116557632,A.Green,CIN,0.007,0.071,0.18,0.534,0.898
98,00-0034777,14.001773008267726,D.Chark,JAX,0.013,0.064,0.161,0.529,0.87
110,00-0035216,13.96728101579344,D.Johnson,PIT,0.017,0.118,0.236,0.502,0.804
146,00-0036407,13.82171233758444,J.Jeudy,DEN,0.0,0.027,0.104,0.502,0.917
24,00-0031236,13.72370578767026,B.Cooks,HOU,0.0,0.012,0.072,0.491,0.937
142,00-0036358,13.694662970682907,C.Lamb,DAL,0.0,0.001,0.036,0.498,0.978
13,00-0030035,13.69154637046043,A.Thielen,MIN,0.0,0.016,0.078,0.474,0.933
53,00-0033127,13.591103301471627,W.Fuller,HOU,0.0,0.001,0.026,0.474,0.964
147,00-0036410,13.533397499377433,T.Higgins,CIN,0.0,0.0,0.006,0.438,0.998
40,00-0032385,13.45703459644507,S.Shepard,NYG,0.0,0.002,0.023,0.422,0.973
68,00-0033857,13.196766364565903,J.Smith-Schuster,PIT,0.0,0.012,0.053,0.39,0.887
69,00-0033871,12.798641982505451,C.Davis,TEN,0.0,0.005,0.025,0.301,0.86
72,00-0033921,12.741717616930973,C.Godwin,TB,0.0,0.0,0.0,0.132,0.993
99,00-0034827,12.537119753016349,D.Moore,CAR,0.0,0.013,0.041,0.303,0.764
3,00-0027685,12.52346851370159,E.Sanders,NO,0.002,0.02,0.062,0.311,0.741
16,00-0030431,12.234734445025277,R.Woods,LA,0.0,0.0,0.0,0.106,0.881
116,00-0035510,12.03804138019413,J.Smith,NYJ,0.003,0.011,0.045,0.247,0.666
73,00-0033932,11.685884136541885,K.Golladay,DET,0.0,0.0,0.0,0.031,0.799
118,00-0035535,11.653475892795951,D.Slayton,NYG,0.0,0.0,0.009,0.169,0.641
27,00-0031382,11.471362558753114,J.Landry,CLE,0.0,0.002,0.003,0.116,0.612
23,00-0031235,11.299154715651648,O.Beckham,CLE,0.0,0.004,0.009,0.112,0.578
31,00-0031547,11.240727518829905,D.Parker,MIA,0.0,0.003,0.007,0.111,0.583
123,00-0035662,11.210191583661517,M.Brown,BAL,0.0,0.0,0.002,0.058,0.57
10,00-0029000,11.157667404735925,C.Beasley,BUF,0.0,0.0,0.004,0.102,0.535
95,00-0034764,11.139273248474177,M.Gallup,DAL,0.0,0.001,0.009,0.098,0.541
138,00-0036326,11.025910157919832,C.Claypool,PIT,0.002,0.011,0.052,0.181,0.508
133,00-0036261,11.016571226015733,B.Aiyuk,SF,0.0,0.0,0.002,0.063,0.51
59,00-0033375,10.988532047622753,T.Patrick,DEN,0.0,0.0,0.0,0.037,0.499
136,00-0036309,10.954694930998928,D.Mooney,CHI,0.0,0.001,0.003,0.063,0.502
132,00-0036255,10.950315785573995,D.Mims,NYJ,0.0,0.0,0.0,0.044,0.51
28,00-0031408,10.913910211186018,M.Evans,TB,0.0,0.0,0.005,0.09,0.473
